adapter,ticker,date,task_id,evidence_atoms
alphagen,NVDA,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"earnings,factor,liquidity,technical"
alphagen,SPY,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"earnings,factor,liquidity"
atlas,GLD,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical,unknown"
atlas,JPM,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical,unknown"
deepalpha,GLD,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,JPM,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,NVDA,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,QQQ,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,SPY,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,GLD,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical"
deepalpha,JPM,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical"
deepalpha,NVDA,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical"
deepalpha,QQQ,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical"
deepalpha,SPY,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,liquidity"
qlib,GLD,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical,unknown"
qlib,JPM,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,unknown"
qlib,NVDA,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,unknown"
qlib,QQQ,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,unknown"
qlib,SPY,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,unknown"
alphagen,NVDA,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"earnings,factor,liquidity,technical"
alphagen,SPY,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"earnings,factor,liquidity"
atlas,GLD,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical,unknown"
atlas,JPM,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical,unknown"
deepalpha,GLD,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,JPM,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,NVDA,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,QQQ,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,SPY,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,GLD,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
deepalpha,JPM,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
deepalpha,NVDA,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
deepalpha,QQQ,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
deepalpha,SPY,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
qlib,GLD,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical,unknown"
qlib,JPM,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,unknown"
qlib,NVDA,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,unknown"
qlib,QQQ,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,unknown"
